animal,dam,sire
CN07-164,CN06-007,CN06-124
CN07-165,CN06-007,CN06-124
CN07-167,CN06-198,CN07-M8
CN07-177,CN07-026,CN06-179
CN07-182,CN06-180,CN06-048
CN07-184,CN07-031,CN06-169
CN08-006,CN06-198,CN07-M8
CN08-012,CN06-182,CN06-169
CN08-028,CN07-131,CN08-016
CN08-029,CN07-124,CN08-M2
CN08-030,CN07-125,CN08-016
CN08-031,CN07-124,CN08-M2
CN08-033,CN07-108,CN08-001
CN08-034,CN07-108,CN08-001
CN08-035,CN07-187,CN08-M2
CN08-036,CN08-009,CN07-106
CN08-037,CN07-047,CN06-179
CN08-038,CN06-157,CN08-003
CN08-039,CN07-086,CN08-003
CN08-041,CN08-004,CN07-050
CN08-047,CN08-009,CN07-106
CN08-052,CN07-178,CN08-M2
CN08-053,CN07-178,CN08-M2
CN08-054,CN07-125,CN08-016
CN08-058,CN07-124,CN08-M2
CN08-059,CN07-187,CN08-M2
CN08-060,CN07-187,CN08-M2
CN08-061,CN07-131,CN07-137
CN08-062,CN07-131,CN07-137
CN08-063,CN07-036,CN07-137
CN08-065,CN07-124,CN08-M2
CN08-066,CN07-124,CN08-M2
CN08-069,CN08-005,CN06-065
CN08-073,CN08-099,CN07-050
CN08-075,CN07-160,CN07-082
CN08-077,CN08-009,CN07-106
CN08-078,CN07-114,CN08-013
CN08-079,CN07-178,CN08-M2
CN08-081,CN07-125,CN08-016
CN08-083,CN07-124,CN08-016
CN08-085,CN07-036,CN08-027
CN08-086,CN07-131,CN08-016
CN08-087,CN07-036,CN08-016
CN08-091,CN07-124,CN08-027
CN08-092,CN07-113,CN08-050
CN08-093,CN07-187,CN08-014
CN08-102,CN07-114,CN08-050
CN08-112,CN07-125,CN08-016
CN08-113,CN07-108,CN08-003
CN08-115,CN07-036,CN07-137
CN08-116,CN07-124,CN08-016
CN08-117,CN07-125,CN08-013
CN08-118,CN07-125,CN08-016
CN09-008,CN07-036,CN07-137
CN09-012,CN06-089,CN07-096
CN09-020,CN07-125,CN08-013
CN09-029,CN07-125,CN08-013
CN09-041,NA,CN07-072
CN09-046,CN08-005,CN07-096
CN09-065,CN07-125,CN09-002
CN09-067,CN07-125,CN09-002
CN09-079,CN07-114,CN09-002
CN09-086,NA,CN08-097
CN09-087,CN08-005,CN07-096
CN09-088,CN08-005,CN09-M1
CN09-089,CN08-005,CN07-096
CN09-101,CN09-102,CN09-053
CN09-109,CN07-125,CN09-053
CN09-110,CN07-113,CN08-013
CN09-115,CN07-036,CN08-013
CN09-120,CN07-036,CN08-013
CN09-128,CN08-005,CN07-096
CN09-130,CN07-114,CN08-050
CN10-005,CN07-114,CN08-050
CN10-033,CN08-005,CN07-096
CN10-059,CN07-114,CN10-010
CN11-007,CN10-026,CN10-007
CN12-028,CN12-015,CN11-040
CN12-033,CN12-015,CN11-040
CN12-055,CN12-015,CN12-010
CN12-056,CN12-015,CN12-010
CN13-009,CN12-019,CN12-051
CN13-020,CN13-002,CN12-021
CN13-025,CN13-002,CN12-021
CN13-045,CN13-002,CN12-021
CN13-052,CN13-002,CN12-021
CN13-060,CN12-019,CN13-008
CN13-083,CN13-002,CN13-019
CN13-088,CN13-002,CN13-019
CN13-098,CN12-019,CN12-051
CN13-110,CN13-002,CN13-019
CN13-111,CN13-002,CN13-019
CN13-118,CN12-019,CN13-008
CN14-065,CN13-080,CN13-109RM
CN14-070,CN13-080,CN13-109RM
CN15-049,CN14-021,NA
CN16-002,CN14-021,NA
CN16-035,CN14-088,CN15-023
CN16-050,CN15-007,CN16-021
CN16-054,CN15-007,NA
CN08-022,CN07-158,CN07-050
CN08-045,CN07-165,CN07-096
CN08-046,CN07-026,CN08-037
CN08-048,CN07-158,CN07-050
CN08-049,CN07-165,CN08-010
CN08-056,CN08-012,CN07-137
CN08-064,CN07-123,CN08-013
CN08-071,CN07-165,CN07-096
CN08-072,CN06-089,CN07-093
CN08-076,CN07-160,CN08-037
CN08-082,CN08-012,CN08-013
CN08-088,CN07-123,CN07-137
CN08-089,CN08-012,CN08-013
CN08-090,CN08-012,CN08-013
CN08-096,CN07-026,CN08-037
CN08-100,CN08-099,CN07-093
CN08-101,CN07-026,CN08-037
CN09-006,CN08-112,CN08-013
CN09-010,CN08-112,CN08-013
CN09-011,CN08-112,CN08-013
CN09-016,CN08-077,CN08-059
CN09-017,CN08-113,CN09-002
CN09-018,CN08-113,CN09-002
CN09-019,CN08-053,CN08-013
CN09-024,CN07-113,CN08-078
CN09-025,CN07-036,CN08-058
CN09-026,CN07-036,CN08-058
CN09-027,CN09-008,CN08-058
CN09-031,CN08-113,CN08-050
CN09-032,CN08-113,CN09-002
CN09-033,CN09-041,CN09-M3
CN09-035,NA,CN08-075
CN09-038,CN08-036,CN08-059
CN09-039,CN08-036,CN08-059
CN09-040,CN09-041,CN09-M3
CN09-042,CN08-073,CN07-096
CN09-043,CN08-077,CN08-059
CN09-047,CN08-053,CN08-013
CN09-048,CN07-113,CN08-078
CN09-051,CN08-053,CN08-013
CN09-054,CN08-093,CN08-078
CN09-055,CN08-093,CN09-002
CN09-056,CN07-036,CN08-117
CN09-058,CN09-008,CN08-117
CN09-059,CN07-036,CN08-058
CN09-060,CN07-036,CN08-058
CN09-062,CN09-008,CN08-117
CN09-063,CN08-112,CN08-013
CN09-064,CN08-112,CN08-013
CN09-066,CN07-125,CN08-078
CN09-068,CN07-113,CN08-078
CN09-069,CN08-077,CN08-050
CN09-072,CN08-036,CN08-050
CN09-073,CN08-036,CN08-050
CN09-074,CN08-036,CN08-050
CN09-078,CN08-053,CN09-M6
CN09-081,CN09-041,CN09-M3
CN09-082,CN09-001,CN08-075
CN09-096,CN09-001,CN08-075
CN09-098,CN09-001,CN08-075
CN09-107,CN08-053,CN09-002
CN09-108,CN08-093,CN09-002
CN09-112,CN09-008,CN08-078
CN09-114,CN07-036,CN08-078
CN09-116,CN09-008,CN08-058
CN09-117,CN09-008,CN08-117
CN09-122,CN09-041,CN08-094
CN09-124,CN08-073,CN07-096
CN09-133,CN08-077,CN08-059
CN09-135,CN09-102,CN08-091
CN09-136,CN08-112,CN08-013
CN09-137,CN08-113,CN09-M6
CN09-138,CN08-093,CN09-002
CN09-139,CN09-008,CN08-078
CN09-140,CN09-008,CN08-078
CN09-142,CN08-112,CN08-013
CN10-002,CN09-093,CN07-093
CN10-012,CN08-053,CN09-M6
CN10-017,CN08-053,CN09-M6
CN10-018,CN09-003,CN08-079
CN10-031,CN09-041,CN07-096
CN10-052,CN10-009,CN10-033
CN10-094,CN08-093,CN10-025
CN11-006,CN09-084,CN08-059
CN11-026,NA,CN09-088
CN11-033,CN09-084,CN08-059
CN13-054,CN13-030,CN12-056
CN13-058,CN12-033,CN13-008
CN13-059,CN12-033,CN13-033
CN13-062,CN12-033,CN13-008
CN13-075,CN12-047,CN12-056
CN13-081,CN13-020,CN13-019
CN13-085,CN13-020,CN13-019
CN13-086,CN13-020,CN13-019
CN13-100,CN12-033,CN13-033
CN14-009,CN13-098,CN14-110
CN14-010,CN13-098,CN14-110
CN14-025,CN13-098,CN14-110
CN14-032,CN13-020,CN13-042
CN14-039,CN12-033,NA
CN14-069,CN13-074,CN13-110
CN14-078,CN13-055,CN13-110
CN14-089,CN12-033,NA
CN15-074,CN13-098,CN15-M2
CN16-020,CN13-080,CN15-049
CN16-028,CN13-098,CN15-M2
CN16-074,CN16-035,NA
CN16-095,CN16-002,NA
CN09-014,CN08-073,CN08-022
CN09-015,CN08-073,CN08-022
CN09-022,CN08-089,CN08-058
CN09-023,CN08-089,CN08-091
CN09-044,CN08-073,CN08-096
CN09-045,CN08-071,CN07-093
CN09-052,CN08-089,CN08-091
CN09-061,CN08-064,CN08-078
CN09-070,CN08-101,CN08-059
CN09-071,CN08-101,CN08-059
CN09-075,CN08-113,CN08-022
CN09-076,CN08-113,CN08-022
CN09-077,CN08-113,CN08-022
CN09-083,CN08-073,CN08-096
CN09-090,CN08-071,CN08-096
CN09-091,CN08-071,CN09-M1
CN09-092,CN08-071,CN09-M1
CN09-097,CN08-071,CN07-093
CN09-099,CN08-073,CN08-022
CN09-100,CN08-089,CN08-091
CN09-105,CN08-089,CN08-117
CN09-106,CN08-089,CN08-117
CN09-118,CN08-064,CN08-117
CN09-119,CN08-064,CN08-022
CN09-125,CN08-076,CN08-022
CN09-126,CN09-001,CN08-096
CN09-127,NA,CN08-046
CN09-131,CN08-101,CN08-059
CN09-132,CN08-077,CN08-022
CN09-134,CN08-076,CN08-095
CN09-141,CN08-064,CN08-079
CN10-003,CN09-F11,CN08-096
CN10-004,CN08-073,CN08-096
CN10-013,CN09-064,CN09-055
CN10-016,CN09-064,CN09-103
CN10-020,CN08-064,CN08-078
CN10-021,CN08-064,CN08-078
CN10-030,CN09-F11,CN08-096
CN10-041,CN09-073,CN09-080
CN10-042,CN09-037,CN09-026
CN10-045,CN09-137,CN09-026
CN10-046,CN09-039,NA
CN10-053,CN08-071,CN09-012
CN10-060,CN07-114,CN10-012
CN10-061,CN08-093,CN10-012
CN10-065,CN09-137,CN09-026
CN10-068,CN10-017,CN10-M3
CN10-073,CN08-089,CN08-117
CN10-074,CN10-017,NA
CN10-076,CN08-089,CN08-117
CN10-077,CN10-017,CN10-M3
CN10-078,CN10-017,CN10-M3
CN10-079,CN09-078,CN09-020
CN10-082,CN09-116,CN09-020
CN10-083,CN09-059,CN09-142
CN10-084,CN09-059,CN10-023
CN10-085,CN09-112,CN09-020
CN10-089,CN09-117,CN09-020
CN10-090,CN09-117,CN09-020
CN10-092,CN09-064,CN09-055
CN10-095,CN09-138,CN10-025
CN10-098,CN09-138,CN10-025
CN10-100,NA,CN08-046
